id	text	humor
0	هذا واحد عجازز كسلان قال لخويه ارسم علي ظهري مربعات ورقمها من الي يوم خلص قال له حك لي المربع	yes
1	غبي طاح من الدرج راح للدكتور عطاه مرهم وقال له ادهن مكان الاصابه قام راح ودهن الدرج	yes
2	فيه واحد عصبي راح للخياط وقال خذ هذا القماش ابيك تفصله لي واضبط لي مقاس الاكمام لا اتوطي في بطنك واضبط لي الطول والا تري باحوسك حوس تفهم ولا ماتفهم انت تراك حيوان والا تدري هات القماش	yes
3	شايب راح امريكا يتعالج عند ولده شاف وحده حلوه قال لولده ودي اتزوج هذي قال الولد يبه هذي يهوديه قال الابو لا والله اليهوديه اللي عندي في البيت	yes
4	واحد يمشي ومعاه ارنب يبغي يبيعه فيه السوق جاه خبل قاله لو سمحت بكم القرد اللي معك رد عليه البياع هذا ارنب موب قرد يا احول قال الخبل والحين انت من كلمك انا اسال الارنب	yes
5	في قروي راح لمحطه البنزين وسالا الهندي وقاله اقول اخوي عندك بنزين فال الهندي ايوه معلوم في بنزين قال القروي ابك الله يسلمك هو حق اليوم	yes
6	دوك يعني خذ الشي دوك مفتاح البيت ريض يعني مطول الاطخم بذاك الوقت المزايين يسمونهم طخمان الهمام يعني بسرعه وانجز الشي اللي تسويه ولا تصير ميت بشغلك دوشق البطانيه او اللحاف بالطقا	no
7	دوك خذ انت ابخص انت اعلم بذلك باغه كيس نايلو انت توحي انت تسمعني حدر تحت دبلت كبدي رفعت ضغطي زاحف عدم اللامبالاه ازهلها لاتشيل هم الموضوع صجه ازعاج فارق ابتعد هجاد مصيبه او طامه باخر اللي	no
8	بنجن يعني ابي بنج بالقصيمي اثنين قصمان يسون دعايه بيبسي واحد يشرب والثاني يقول عطن جغمه فيه قصيمي عايش في مصر تضارب مع مصري يوم فكوه قال سيبونن ماتلهدوني	yes
9	لهجه قصيميه ويكيبيدي	no
10	مشاعل وهي تعطيها دوك نوره الحمدالله نجحت بككل المواد عذرا ها بشري عذرا ولو اكيد نجحتت مي صدق تضمه	no
11	واحد الكلب قعد ينبح حتي ضرو راسو علاه كان ينبح في واحد اطرش	yes
12	زوج كباش تفاهمو مع بعض كل واحد يعور الاخر باش ما يدبحوهمش فالعيد الكبير	yes
13	حمار شاف خطيبته حماره قالها وقتاش نتزوجو يا حماره قاتلو كي تريقل هدرتك يا واحد الحمار	yes
14	قالك واحد الجزار راح يخطب قالولو لازم تدفع خمسه ملاين مهر قاللهم علاش شحال للكيلو	yes
15	واحد فنيان يخدم في حانوت تاع الدجاج يبيع الدجاج حي جات عندو وحده و قالتلو شوفلي دجاجه فيها كيلو ايا شاف مليح فالدجاج وقال اللي فيها كيلو تنوض	yes
16	واحد قال ليماه بغيت نتزوج بوحده بيضه وطويله وخدامه قالتلو شوف كاش فريجيدار	yes
17	عربي وامريكي وياباني حطوهم علي جهاز كشف الكذب الياباني قال احنا رانا نفكرو نصنعو انسان اليونستغناو عن البشر فبدا الجهاز يسينيالي الامريكي قال احنا رانا نفكرو نسكنو فالمريخ فبدا الجهاز يسينيالي العربي قال احنا رانا نفكرو وقبل ما يكمل هدرتو بدا الجهاز يسينيالي	yes
18	قالك مره كان جحا واحد من المريكان واحد من الجابون عطاو لكل واحد منهم مليار وقالولهم لازم تخترعو حوايج مالا الماريكاني خدم صاروخ يروح لاي بلاصه والياباني خدم خاتم بورتابل تكلم بيه اي واحد اما جحا صرف دراهمو اكل قعدتلو غير مليون مالا شري معزه وكلب جوعهم ربعيام قبل ما يوصل وقت كي يورو اختراعاتهم مالا بدا الماريكاني وري اختراعو ثم الياباني وصت داله جحا حط الكلب وعطاه حشيش كلاه وحط المعزه وعطاها اللحم كلاتو قالولو واشي هو الاختراع قالهم علي الكلب الكاركا سه كلب والموتور معزه علي المعزه الكاركا سه معزه والموتور كلب ه	yes
19	قلك واحد حابس اراد ان ينتحر فراه صديقه فذهب اليه مسرعا وقالو خويا علاه راك حاب تنتحر فاجابه لانني حابس وما نعرف والو فقال له صديقه سوف ابين لك بانك ماكش حابس وسقساه علي حاجه مدوره وبيضه فقال له الحابس مانيش عارف فاجابه صديقه بانها حبه بيض ثم ساله سوال ثاني و قالو مدورين و بيض فقال له الحابس مانيش عارف فاجابه صديقه بانهما حبات بيض ثم ساله سوال ثالث و قالو حيوان عندو الصوف وعندو القرون ويقول بعع فاجابه الحابس ايه مالا حبات بيض ه	yes
20	التقي كذابان احدهما من القطب الجنوبي و الاخر من الشمالي فقال الاول ان البرد عندنا كثير لدرجه ان النار قد تجمدت فقال الثاني اما البرد عندنا وصل الي درجه اننا لا نسمع كلام بعضنا حتي نضعه في الماء الساخن ه	yes
21	واحد النهار غبي دخل يشري عصير قال لمول الحانوت اعطيني تاع الخوخ ه	yes
22	مره وحده هي و زميلتها قاعدين يحكيو الاولي قالت انا زوجي ديما ينسي بورتابله و المفتاح نتاع الطاكسي هدرت الاخري قاتلها تنتي عندك الزهر انا زوجي كل يوم يقولي وين شفتك من قبل ه	yes
23	مره واحد عرض صاحبه و حطلو العدس قالو كول العدس فيه الحديد ايا مره التاني عرض صاحبه جابلو الحديد قالو كول الحديد فيه العدس ه	yes
24	قالك الحمار عرض الحماره لدارو كي دخلت الحماره شافت الحمار معلق صوره الحمار الوحشي و سقساتوا شكون هذا فقالها الحمار هذا عمي كي كان يلعب في جوفانتوس ه	yes
25	سال احدهم الاخر اتذهب الي امريكا ام تبقي فاجابه ساذهب الي تبقي يظن انها دوله ه	yes
26	غبيان في مطعم طلب الغبي الاول عصير ليمون عليه ليمونه فطلب الثاني حليبا عليه بقره ه	yes
27	في احد الايام ذهب رجل بخيل مع زوجته لاحدي المحلات فوجدت زوجه البخيل توبا رايعا قايلتا لزوجها يا له من ثوب انيق فاجابها الزوج البخيل قايلا اذا سوف احضرك الي هذا المحل يوميا لكي تري الثوب ه	yes
28	قالك واحد قال لباباه شريلي بورتابل قالو نشريلك بصح ركب خوك معاك ه	yes
29	كاين واحد في البحر يصايد فرمي صنارنه في الشاطي فقال له واحد لماذا تصطاد الرمل قال له اعطيني دج نقولك فاعطاه فقال له اني اصطاد الاغبياء مثلك ه	yes
30	الاستاذ للطالب ما هي اكثر كلمه يستخدمها الطالب الطالب لا اعرف الاستاذ احسنت	yes
31	قالك وحد الكلب كان يجري يجري يجري و من بعد طاح قالك راح عند صحابوا الكلاب قالهم و الله كنت نجري وطحت طيحه تاع الكلاب	yes
32	مشحاح كتب علي باب داره ما تخبطوش الباب راني نحله كل خمس دقايق	yes
33	هادو زوج خاوه واحد منهم دركي وواحد حفاف قال الحفاف لامه نوضيني بكري غدوه جات امه نوضتو غلط الحفاف لبس لباس الدرك تاع خوه وهو نعسان شاف روحو في لمرايا وقال هيه قلتلها نوضيني نوضت خويا	yes
34	واحد يسكن في القريه دا الباك وباه يروح للجامعه خاف يضحكو عليه قالتلو امو روح برك النهار اللول يضحكو عليك والنهار الثاني يضحكو عليك والنهار الثالث توالف وتروحلك العقده قالها مالا حتي النهار الثالث ونروح	yes
35	سالوا جحا في ايام صباه اانت اكبر سنا ام اخوك فاجابهم في العام الماضي قالت لي امي ان اخاك اكبر منك بسنه واحده وعلي هذا الحساب فنكون كلانا في هذه السنه بعمر واحد	yes
36	قالك جماعه حابسين يلعبوا في لوتوروت تفاهموا اللي تقيسوا الطونوبيل زوج خطرات يخرج	no
37	شفت القمر قالك وحده كانت تشاهد المسلسل وجات عند زوجها قالت له يا محمد شفت القمر اشحال شباب قالها راني نشوف مانيش اعمي	yes
38	حراقه والبابور ت زوج حراقه جاو تحت باخره العلم تاعها علم انغليزي فشافو واحد من الطاقم فوق و نادوه الحراق الاول هاي انت ارميلنا الحبل حابين نحرقو العامل علي الباخره هاي راني نهدر معاك قلتلك ارمي الحبل يرحم باباك ارميلنا حبل حابين نحرقو معاكم شووف قلتلك ارمي الحبل والا نطلع ليك مابقاش وقت فرد الطاقم والو مافهمش و هنا الحراق الثاني قال لصاحبو اسمع اسمع خليني انا نهدر معاه الحراق الثاني العامل قال الحراق الثاني ارمي جد الحبل مالا	yes
39	في عجوز تدرس في محو الاميه وهي في اختبار سوال يقول وجدت المدرسه عايزه تغششها قالت معاكي عشر برتقالات اكلتيها كلها يبقي ايه قالت القشر	yes
40	قال المعلم من اين نستورد الشاي قال التلميذ من عند الجيران	yes
41	المدرس ماذا فعل الرومان حين عبروا البحر الابيض المتوسط التلميذ جففوا ملابسهم	yes
42	مره واحد ابوه ساله ليه المعلم كاتبلك حمار بالدفتر قال لا يا بابا هذا توقيع	yes
43	مره مدرس بيسال تلميذ معني سبيل قال التلميذ طريق قال المدرس للتلميذ ومعني سلسبيل قال التلميذ طرطريق	yes
44	مره مدرس سال التلميذ قال له ماذا يمثلك الوطن قال له امي وسال زميله ماذا يمثلك الوطن قال ام صاحبي	yes
45	قلك واحد حابس اشتري تلفاز جديد كي شعلو في الدار صاب تلعب مقابله في كره القدم فراح جاب بيدون تاع ماء وفرغو عليه وقال للتلفاز ايا كل واحد يروح يلعب قدام دارهم ه واحد حب يشري سروال لوبيا مالقاش شري سروال عدس ه	yes
